step,object,x,y,zoom,question,answer,layer1_button,layer1_file,layer2_button,layer2_file
1,demo-terrafirma-map,0.5,0.5,1,"¿De dónde puede tomar Telar sus materiales?","Telar trabaja con imágenes IIIF de cualquier institución. Este mapa viene de la colección digital de la Huntington Library.",Compatibilidad IIIF,iiif_intro.md,,
2,demo-ceramic-figure,0.5,0.5,1,"¿Puedo usar mis propios materiales?","Sí. Telar puede autogenerar teselas (*tiles*) IIIF a partir de tus propias imágenes y darte las mismas opciones de acercar y moverte por la imagen que con materiales alojados externamente.","Tus propios materiales",self_hosted.md,,
3,demo-muisca-goldwork,0.5,0.5,1,"¿Cómo funciona el formato del texto?","Telar admite formato Markdown completo en el contenido de los paneles: negritas, cursivas, enlaces, listas e incluso notas al pie.",Ver ejemplos de Markdown,markdown_formatting.md,Funciones avanzadas,markdown_advanced.md
4,demo-piedrahita-title_page,0.5,0.5,1.5,"¿Qué puedo hacer con el paneo y el zoom?","Telar te da control preciso sobre la vista de la persona lectora. Exploremos esta portada ornamentada de la John Carter Brown Library.",Control de paneo y zoom,pan_zoom_intro.md,,
5,demo-piedrahita-title_page,0.25,0.3,4,"¿Puedo acercar a detalles específicos?","Sí. Cada paso define coordenadas x, y y un nivel de zoom. Aquí nos acercamos a uno de los medallones de retratos de un gobernante indígena.",,,,
6,demo-piedrahita-title_page,0.49,0.06,4,"¿Puedo desplazarme por la misma imagen?","Claro: aquí nos movimos a otro medallón manteniendo el mismo nivel de zoom para guiar la atención a través de la imagen.",,,,
7,demo-piedrahita-title_page,0.75,0.3,4,"¿Qué pasa si acerco otras zonas?","Puedes combinar paneo y zoom libremente. Aquí tienes una de las escenas de batalla que aparecen en la decoración del marco.",,,,
8,demo-muisca-goldwork,0.5,0.5,1,"¿Cómo funciona el sistema de glosario?","Telar enlaza automáticamente los términos de tu texto con sus definiciones. Haz clic en cualquier término enlazado para ver su definición en un panel deslizable.",Enlaces del glosario,glossary_system.md,Términos relacionados,glossary_related.md
9,demo-ceramic-figure,0.5,0.5,1,"¿Qué funciones interactivas ofrece Telar?","Telar incluye tres widgets interactivos: carruseles para secuencias de imágenes, pestañas para contenido con varias perspectivas y acordeones para información cronológica.",Ejemplo de carrusel,carousel_demo.md,Ejemplo de acordeón,accordion_demo.md
10,demo-terrafirma-map,0.5,0.5,1,"¿Qué tipo de historias puedo escribir?","Puedes contar cualquier narrativa visual combinando objetos, controlando vistas, formateando texto e integrando recursos multimedia como imágenes y videos en los paneles.",Posibilidades de narración,rich_media.md,Próximos pasos,next_steps.md
